id,red1,red2,red3,red4,red5,red6,blue,firstPrizeAddress,OpenTime,SaleMoney
2017010,28,05,30,25,08,19,07,"北京2注,天津1注,辽宁3注,黑龙江1注,上海1注,江苏2注,浙江1注,安徽1注,江西1注,山东2注,河南1注,广东4注,重庆1注,贵州2注,陕西5注,甘肃1注,新疆1注,共30注。",2017-01-22,350388682
2017011,26,10,29,23,12,11,16,"河北2注,山西1注,山东2注,湖南1注,广东1注,云南1注,陕西3注,共11注。",2017-01-24,318019266
2017012,11,16,24,10,15,14,07,"河北1注,辽宁5注,重庆2注,陕西1注,共9注。",2017-01-26,329120186
2017013,28,31,33,08,11,29,06,"吉林1注,浙江1注,安徽1注,山东1注,湖南1注,广东3注,重庆1注,陕西1注,共10注。",2017-02-05,377878424
2017014,18,06,20,31,23,08,13,"江西1注,河南2注,重庆1注,云南1注,共5注。",2017-02-07,307538720
2017015,08,01,32,09,17,14,01,"湖北1注,四川2注,甘肃1注,共4注。",2017-02-09,314977594
2017016,08,29,27,05,16,22,02,"内蒙古1注,上海1注,江苏1注,安徽2注,福建1注,山东3注,云南2注,陕西1注,共12注。",2017-02-12,349767606
2017017,10,03,08,07,22,23,12,"河北1注,黑龙江1注,广东1注,广西1注,甘肃1注,共5注。",2017-02-14,329086094
2017018,01,31,25,02,17,03,09,"河南1注,重庆3注,四川1注,共5注。",2017-02-16,332385048
2017019,25,04,12,06,23,08,08,"北京1注,浙江1注,广东1注,云南1注,共4注。",2017-02-19,362828374
2017020,31,12,04,08,33,10,10,"上海1注,江西1注,广东2注,共4注。",2017-02-21,321450250
2017021,05,10,33,02,22,32,09,"河北9注,吉林1注,江苏1注,福建1注,山东2注,湖北1注,甘肃1注,共16注。",2017-02-23,329896520
2017022,16,18,06,15,02,32,15,"浙江1注,河南1注,湖南1注,云南1注,共4注。",2017-02-26,370988738
2017023,03,04,22,18,01,11,14,"辽宁1注,湖北1注,四川1注,共3注。",2017-02-28,337872226
2017024,25,21,09,29,31,26,13,"山东1注,广东2注,深圳1注,四川1注,新疆1注,共6注。",2017-03-02,342020216
2017025,15,02,22,17,16,32,07,"河北1注,辽宁2注,江苏1注,浙江1注,山东1注,湖北1注,深圳1注,重庆1注,贵州1注,云南1注,共11注。",2017-03-05,372684176
2017026,30,19,10,03,12,27,08,"天津1注,河北1注,辽宁1注,吉林1注,上海1注,江苏1注,安徽2注,江西1注,山东2注,河南12注,湖南1注,广东2注,深圳1注,重庆1注,四川1注,甘肃1注,共30注。",2017-03-07,338217710
2017027,11,30,27,02,14,04,05,"江苏1注,河南1注,广西1注,共3注。",2017-03-09,344767540
2017028,07,08,12,30,13,22,09,"天津2注,上海1注,江苏1注,江西1注,山东2注,海南1注,新疆1注,共9注。",2017-03-12,377657484
2017029,25,23,30,02,15,21,10,"黑龙江1注,上海1注,浙江1注,山东1注,共4注。",2017-03-14,343011048
2017030,09,23,30,07,01,20,02,"江苏2注,陕西1注,新疆2注,共5注。",2017-03-16,350487064
2017031,26,10,06,27,29,16,03,"北京1注,河北1注,辽宁1注,黑龙江9注,上海1注,浙江3注,安徽2注,山东1注,河南7注,广东1注,广西1注,重庆1注,贵州1注,共30注。",2017-03-19,377406752
2017032,24,27,31,15,05,08,11,"北京2注,天津1注,河北3注,内蒙古2注,吉林2注,上海2注,江苏9注,浙江2注,福建1注,江西1注,山东2注,河南1注,湖南4注,广东19注,深圳2注,重庆1注,四川1注,贵州2注,云南6注,共63注。",2017-03-21,346410188
2017033,30,23,05,07,15,20,15,"河北2注,黑龙江1注,江苏1注,福建2注,河南2注,广东1注,四川1注,贵州1注,青海1注,共12注。",2017-03-23,346477046
2017034,19,32,04,08,33,07,13,"河北1注,江苏1注,江西1注,湖北1注,广西1注,重庆1注,贵州1注,陕西1注,共8注。",2017-03-26,373962682
2017035,28,01,32,06,24,14,12,"北京1注,河北3注,山西1注,黑龙江1注,安徽1注,福建1注,湖北4注,广东1注,四川1注,陕西1注,新疆1注,共16注。",2017-03-28,342022594
2017036,10,24,02,27,01,05,15,"上海1注,浙江1注,广东1注,甘肃1注,共4注。",2017-03-30,340257990
2017037,25,11,30,20,22,15,05,"黑龙江1注,上海1注,江苏1注,河南1注,广东2注,贵州1注,共7注。",2017-04-02,346434206
2017038,01,04,13,08,24,27,05,"辽宁3注,上海1注,河南1注,共5注。",2017-04-04,310673636
2017039,02,12,04,17,24,14,15,"江苏1注,共1注。",2017-04-06,330405710
2017040,33,28,19,23,29,15,04,"河北1注,上海2注,浙江1注,河南1注,湖南1注,广东1注,深圳2注,四川3注,陕西1注,共13注。",2017-04-09,359413424
2017041,13,27,22,04,15,10,04,"内蒙古1注,浙江10注,山东1注,湖南1注,广东1注,深圳6注,四川1注,共21注。",2017-04-11,322450520
2017042,23,02,07,04,10,01,04,"河北1注,辽宁1注,浙江1注,深圳4注,重庆1注,共8注。",2017-04-13,326995938
2017043,08,13,23,16,27,31,08,"江苏1注,浙江2注,广西1注,共4注。",2017-04-16,348879160
2017044,08,31,16,19,32,21,06,"江苏1注,福建1注,山东1注,深圳10注,四川1注,陕西1注,共15注。",2017-04-18,318935018
